Date,Close/Last,Open,High,Low,Volume
2020-04-20,8726.509766,8742.540039,8855.179688,8725.330078,3796950000
2020-04-17,8832.410156,8876.660156,8879.240234,8704.379883,4335020000
2020-04-16,8757.830078,8689.089844,8793.349609,8605.509766,3995870000
2020-04-15,8591.959961,8548.469727,8666.240234,8500.55957,3333750000
2020-04-14,8692.160156,8489.269531,8708.549805,8470.740234,3732820000
2020-04-13,8332.740234,8209.679688,8338.150391,8158.580078,3146860000
2020-04-09,8238.530273,8284.30957,8334.230469,8167.930176,4123670000
2020-04-08,8229.540039,8134.299805,8254.410156,8058.410156,3470730000
2020-04-07,8049.310059,8287.480469,8305.589844,8043.069824,4069410000
2020-04-06,8081.660156,7819.060059,8110.660156,7763.089844,3849100000
2020-04-03,7528.109863,7631.569824,7673.490234,7439.779785,3279100000
2020-04-02,7635.660156,7445.879883,7641.870117,7432.279785,3608190000
2020-04-01,7486.290039,7582.779785,7701.680176,7423.970215,3685510000
2020-03-31,7813.5,7855.740234,8011.600098,7765.459961,4059700000
2020-03-30,7889.009766,7678.830078,7902.089844,7651.430176,3846900000
2020-03-27,7588.370117,7657.439941,7817.740234,7580.220215,3977010000
2020-03-26,7897.129883,7549.830078,7913.109863,7549.830078,3999850000
2020-03-25,7469.620117,7543.959961,7777.609863,7390.410156,4666440000
2020-03-24,7553.830078,7349.0,7555.910156,7304.390137,4417380000
2020-03-23,7006.919922,6952.709961,7145.290039,6771.910156,4330610000
2020-03-20,6994.290039,7391.220215,7487.830078,6969.77002,5239940000
2020-03-19,7288.52002,7190.209961,7514.140137,7037.470215,4762170000
2020-03-18,7175.180176,7023.859863,7336.879883,6837.529785,4890820000
2020-03-17,7473.950195,7198.529785,7550.129883,6959.149902,4900000000
2020-03-16,7020.379883,7502.259766,7563.450195,6993.609863,4594360000
2020-03-13,7995.259766,7683.040039,7998.509766,7301.879883,4685890000
2020-03-12,7263.649902,7452.759766,7808.310059,7255.620117,5066530000
2020-03-11,8006.120117,8166.259766,8224.730469,7900.990234,4273890000
2020-03-10,8372.269531,8213.969727,8376.44043,7942.129883,4431930000
2020-03-09,7948.029785,7912.140137,8241.769531,7912.140137,4530350000
2020-03-06,8530.339844,8395.950195,8571.879883,8319.900391,4279850000
2020-03-05,8671.660156,8713.19043,8864.19043,8613.910156,3748090000
2020-03-04,8949.280273,8745.639648,8952.110352,8669.759766,3602870000
2020-03-03,8594.490234,8892.679688,9000.459961,8516.580078,4336700000
2020-03-02,8877.980469,8569.910156,8879.389648,8446.5,4232760000
2020-02-28,8461.830078,8133.850098,8490.469727,8133.850098,5301170000
2020-02-27,8436.669922,8632.540039,8786.679688,8430.530273,4536080000
2020-02-26,8873.759766,8883.009766,9032.879883,8813.919922,3567830000
2020-02-25,8834.870117,9167.330078,9183.780273,8807.110352,3583400000
2020-02-24,9079.629883,9055.299805,9194.910156,9028.870117,3177000000
