Date,Close/Last,Open,High,Low,Volume
2020-04-20,1213.349976,1220.630005,1233.859985,1202.219971,52201600
2020-04-17,1229.099976,1191.849976,1231.930054,1191.849976,57921400
2020-04-16,1178.089966,1185.099976,1187.839966,1154.52002,51799900
2020-04-15,1183.97998,1221.709961,1221.709961,1176.030029,52033900
2020-04-14,1237.329956,1232.319946,1251.880005,1224.150024,55674000
2020-04-13,1212.040039,1240.910034,1240.939941,1200.920044,52743100
2020-04-09,1246.72998,1212.660034,1250.130005,1212.660034,78801400
2020-04-08,1191.660034,1151.01001,1197.170044,1147.26001,58563700
2020-04-07,1139.170044,1158.170044,1190.97998,1133.550049,70407200
2020-04-06,1138.780029,1085.880005,1139.930054,1085.880005,63918600
2020-04-03,1052.050049,1082.900024,1082.900024,1035.390015,60871900
2020-04-02,1085.810059,1071.459961,1102.359985,1055.599976,64549900
2020-04-01,1071.98999,1127.72998,1127.72998,1064.599976,59479000
2020-03-31,1153.099976,1155.680054,1164.630005,1130.339966,65682900
2020-03-30,1158.319946,1134.140015,1158.640015,1119.949951,57462200
2020-03-27,1131.98999,1163.920044,1163.920044,1125.680054,61943300
2020-03-26,1180.319946,1116.300049,1180.319946,1116.300049,77531600
2020-03-25,1110.369995,1100.140015,1146.810059,1075.849976,82856700
2020-03-24,1096.540039,1041.069946,1096.540039,1041.069946,75473500
2020-03-23,1002.400024,1014.080017,1017.890015,966.419983,74021800
2020-03-20,1013.890015,1064.719971,1087.719971,1009.530029,90446900
2020-03-19,1058.75,988.710022,1069.150024,968.859985,79467100
2020-03-18,991.159973,1057.650024,1062.880005,966.219971,87557800
2020-03-17,1106.51001,1043.869995,1106.680054,1011.950012,83585000
2020-03-16,1037.420044,1174.969971,1174.969971,1035.189941,77815400
2020-03-13,1210.130005,1153.76001,1210.130005,1109.390015,82586700
2020-03-12,1122.930054,1253.869995,1253.869995,1121.719971,88293800
2020-03-11,1264.300049,1349.23999,1349.23999,1249.280029,73741100
2020-03-10,1350.900024,1329.880005,1351.47998,1288.930054,76359600
2020-03-09,1313.439941,1396.23999,1396.23999,1310.76001,84230500
2020-03-06,1449.219971,1476.630005,1476.630005,1417.27002,65521400
2020-03-05,1478.819946,1522.849976,1522.849976,1462.920044,55755500
2020-03-04,1531.199951,1500.150024,1531.199951,1494.579956,50354800
2020-03-03,1486.079956,1518.52002,1539.73999,1472.73999,63559400
2020-03-02,1518.48999,1476.589966,1518.51001,1463.060059,63764000
2020-02-28,1476.430054,1496.829956,1496.829956,1448.209961,85638500
2020-02-27,1497.869995,1545.25,1553.97998,1495.890015,70588400
2020-02-26,1552.76001,1572.27002,1588.319946,1551.390015,54781100
2020-02-25,1571.900024,1630.869995,1633.109985,1568.969971,55915100
2020-02-24,1628.099976,1676.650024,1676.650024,1620.140015,48429600
2020-02-21,1678.609985,1694.72998,1694.72998,1673.199951,38992700
2020-02-20,1696.069946,1689.420044,1698.910034,1677.619995,40073200
2020-02-19,1692.569946,1685.329956,1698.160034,1685.329956,36001500
2020-02-18,1683.52002,1686.030029,1687.380005,1674.599976,37467200
2020-02-14,1687.579956,1694.869995,1695.170044,1683.469971,33980400
2020-02-13,1693.73999,1684.579956,1696.540039,1680.380005,34982400
2020-02-12,1689.380005,1684.390015,1690.060059,1683.02002,39263800
2020-02-11,1677.51001,1674.5,1686.01001,1674.0,37605500
2020-02-10,1667.670044,1654.920044,1667.699951,1653.670044,34503500
2020-02-07,1656.780029,1673.530029,1673.530029,1654.310059,37306500
2020-02-06,1677.459961,1685.439941,1689.170044,1677.290039,38683700
2020-02-05,1681.920044,1667.949951,1682.959961,1667.380005,41177300
2020-02-04,1656.77002,1644.420044,1661.0,1644.420044,39953200
2020-02-03,1632.209961,1618.800049,1636.880005,1618.800049,37579100
2020-01-31,1614.060059,1643.689941,1643.689941,1610.640015,45278300
2020-01-30,1648.219971,1641.469971,1648.430054,1630.939941,37872500
