Date, Close/Last, Volume, Open, High, Low
2020-04-20,54.401, N/A,57.25,54.905,54.016
2020-04-19,57.448, N/A,57.381,57.57,56.385
2020-04-18,57.335, N/A,56.32,58.095,56.641
2020-04-17,56.06, N/A,56.009,56.537,55.399
2020-04-16,56.596, N/A,52.413,56.881,55.931
2020-04-15,52.777, N/A,54.245,52.844,51.383
2020-04-14,54.237, N/A,52.847,54.453,53.391
2020-04-13,53.143, N/A,51.647,53.183,52.096
2020-04-12,51.432, N/A,52.741,53.276,51.165
2020-04-11,52.608, N/A,53.583,53.513,52.582
2020-04-10,53.636, N/A,57.135,53.709,52.562
2020-04-09,56.494, N/A,56.554,57.735,56.471
2020-04-08,56.415, N/A,56.511,57.959,56.307
2020-04-07,57.51, N/A,57.465,57.745,55.408
2020-04-06,57.244, N/A,53.673,59.969,57.18
2020-04-05,53.8, N/A,53.377,53.906,53.018
2020-04-04,53.285, N/A,52.394,53.929,53.198
2020-04-03,52.264, N/A,50.761,53.051,51.961
2020-04-02,50.736, N/A,47.869,50.894,50.05
2020-04-01,47.799, N/A,46.842,48.394,47.658
2020-03-31,47.028, N/A,46.747,47.65,46.5
2020-03-30,46.4, N/A,44.573,46.963,46.208
2020-03-29,44.559, N/A,46.73,44.757,43.782
2020-03-28,46.312, N/A,46.343,47.112,46.187
2020-03-27,45.272, N/A,49.353,47.579,44.989
2020-03-26,49.308, N/A,48.266,50.98,49.12
2020-03-25,48.149, N/A,45.906,48.342,46.937
2020-03-24,45.816, N/A,44.355,47.081,45.643
2020-03-23,43.997, N/A,38.602,45.136,43.867
2020-03-22,39.282, N/A,42.21,39.399,37.835
2020-03-21,42.135, N/A,40.909,42.317,40.788
2020-03-20,40.874, N/A,40.654,41.809,39.64
2020-03-19,40.759, N/A,36.456,41.697,40.506
2020-03-18,36.557, N/A,36.481,37.433,36.135
2020-03-17,36.539, N/A,36.232,36.621,35.893
2020-03-16,35.984, N/A,36.893,36.39,33.625
2020-03-15,36.883, N/A,35.949,38.439,36.883
2020-03-14,35.866, N/A,37.429,36.849,35.829
2020-03-13,37.476, N/A,34.828,37.929,35.842
2020-03-12,34.241, N/A,50.526,37.651,25.474
2020-03-11,50.459, N/A,54.952,54.433,50.42
2020-03-10,54.915, N/A,55.143,55.996,54.588
2020-03-09,55.069, N/A,55.481,55.62,54.872
2020-03-08,55.093, N/A,64.243,57.299,55.06
2020-03-07,64.376, N/A,68.445,65.554,63.682
2020-03-06,68.524, N/A,67.998,69.174,68.334
2020-03-05,67.898, N/A,67.768,68.753,67.512
2020-03-04,66.493, N/A,66.745,67.948,65.67
2020-03-03,67.349, N/A,68.441,67.575,65.67
2020-03-02,68.461, N/A,65.544,68.954,67.387
2020-03-01,65.498, N/A,67.1,65.729,64.351
2020-02-29,66.928, N/A,68.585,67.724,65.707
2020-02-28,68.595, N/A,70.775,69.029,67.982
2020-02-27,70.982, N/A,69.074,71.495,69.934
2020-02-26,69.002, N/A,74.341,70.713,66.876
2020-02-25,74.439, N/A,78.281,78.101,74.353
2020-02-24,78.191, N/A,83.248,79.644,77.902
2020-02-23,83.222, N/A,81.432,86.333,82.346
2020-02-22,81.459, N/A,81.306,81.848,78.818
2020-02-21,80.762, N/A,78.353,82.896,79.57
2020-02-20,78.51, N/A,77.75,79.249,75.886
2020-02-19,77.78, N/A,85.255,78.903,76.96
2020-02-18,85.51, N/A,84.774,86.549,85.162
2020-02-17,82.718, N/A,88.379,89.074,79.884
2020-02-16,82.547, N/A,91.656,89.074,81.341
2020-02-15,91.523, N/A,93.484,91.958,88.295
2020-02-14,93.641, N/A,92.024,95.35,93.148
2020-02-13,92.13, N/A,93.994,92.723,91.734
2020-02-12,93.928, N/A,92.558,96.525,93.357
2020-02-11,92.468, N/A,82.953,93.246,90.183
2020-02-10,82.858, N/A,85.493,84.855,82.837
2020-02-09,85.512, N/A,82.125,87.834,85.103
2020-02-08,82.007, N/A,78.497,82.01,80.574
2020-02-07,78.258, N/A,79.079,79.554,77.025
2020-02-06,79.077, N/A,78.134,80.369,78.192
2020-02-05,78.008, N/A,75.223,78.426,76.473
2020-02-04,75.155, N/A,75.869,75.331,74.564
2020-02-03,75.855, N/A,75.613,77.193,75.769
2020-02-02,75.608, N/A,72.316,76.81,74.421
2020-02-01,72.349, N/A,73.164,73.32,71.32
2020-01-31,73.11, N/A,71.071,73.351,71.46
2020-01-30,71.264, N/A,69.997,75.894,71.261
2020-01-29,70.048, N/A,67.865,70.189,68.891
2020-01-28,67.8, N/A,65.946,68.033,67.533
2020-01-27,66.015, N/A,64.421,67.209,65.556
2020-01-26,64.466, N/A,61.645,64.495,63.64
2020-01-25,61.686, N/A,60.099,61.744,61.01
2020-01-24,60.084, N/A,59.415,61.629,60.065
